,Latitude,Longitude
5285383,40.828141885,-73.941771539
5285426,40.72386889,-73.900986882
5285496,40.834502766,-73.91337278
5285646,40.755100166999995,-73.833252629
5285660,40.68959985,-73.849718686
5285782,40.796660712,-73.938032081
5285820,40.828723865,-73.923190768
5285845,40.639190561999996,-74.094901652
5285878,40.688954138,-73.999280274
5285895,40.743654887,-73.909856822
5286047,40.730198287,-73.98196462
5286092,40.644677234,-73.961689428
5286225,40.747972526999995,-73.977538723
5286389,40.626549722,-73.940203809
5286485,40.740505278,-73.985036397
5286749,40.712447818,-73.959814452
5286774,40.613801648,-74.00882584
5286776,40.642147146,-73.973589063
5286812,40.613801648,-74.00882584
5286835,40.630990895,-73.90068153899999
5286839,40.857714908,-73.90319883800001
5286885,40.719930694,-73.759761212
5286903,40.685610573000005,-73.942912796
5286904,40.875698898,-73.880540204
5286940,40.850773028,-73.93348145899999
5286943,40.712447818,-73.959814452
5286954,40.711151921,-73.958769186
5286963,40.711151921,-73.958769186
5286964,40.711151921,-73.958769186
5286969,40.874274711999995,-73.861194033
5287052,40.803836331999996,-73.966820897
5287135,40.75324195,-73.785180821
5287189,40.607011439000004,-73.964718235
5287252,40.683809179,-73.98297591
5287253,40.750603342,-73.81299101100001
5287312,40.787178948000005,-73.847826462
5287314,40.819509618000005,-73.953582535
5287360,40.852141187,-73.922375722
5287484,40.707728244,-73.80849087899999
5287511,40.713753007,-73.95619925300001
5287516,40.841999759000004,-73.89200337300001
5287520,40.63891668,-73.90581865
5287674,40.84619401,-73.861491177
5287826,40.835405549,-73.924783966
5287829,40.612848301,-73.969721576
5287875,40.712447818,-73.959814452
5287905,40.598874646999995,-73.763822985
5287974,40.797546943,-73.972631706
5288007,40.718109945,-73.794727518
5288244,40.74450656,-73.745352572
5288705,40.707170282,-73.836467197
5288765,40.873393189,-73.900630448
5288961,40.700453401,-73.91482725899999
5288992,40.633381776,-74.119342367
5289000,40.700453401,-73.91482725899999
5289024,40.661523683,-73.945528558
5289030,40.601904692,-73.982388195
5289076,40.825012109,-73.914133073
5289090,40.709742412,-73.954914197
5289122,40.715545638,-73.956998894
5289123,40.575885314000004,-74.001948903
5289174,40.664099999,-73.943388978
5289404,40.630450783,-73.94159095399999
5289514,40.745979733,-73.734083385
5289715,40.833217042,-73.927554515
5289721,40.706857916,-73.798700829
5289739,40.689506554,-73.951394111
5289778,40.633048743,-74.079040438
5289815,40.601984115,-73.959841321
5289825,40.78632983,-73.779335964
5289826,40.738328299,-73.854476691
5289827,40.74630681,-73.731909475
5289838,40.84615751,-73.826395599
5289839,40.736386534,-73.902804969
5290112,40.849376385999996,-73.913422086
5290125,40.733108976,-74.006139072
5290203,40.699487512,-73.915192743
5290245,40.888558685999996,-73.854979675
5290253,40.863120505,-73.895237307
5290257,40.661788,-73.953659841
5290544,40.681349153,-73.978714903
5290679,40.662360243,-73.95708364
5290730,40.766395304,-73.819029613
5290892,40.681349153,-73.978714903
5290938,40.678812065,-73.857714339
5290945,40.681031182,-73.87046562100001
5291158,40.709400953,-73.797921257
5291271,40.745556093000005,-73.820107546
5291297,40.77139421,-73.926614487
5291351,40.763751685,-73.964985373
5291386,40.719930694,-73.759761212
5291415,40.705787495,-74.00838357
5291630,40.63991177,-73.904282279
5291652,40.707424098000004,-73.74630938199999
5291752,40.623688822,-74.15065813300001
5291811,40.611518097,-73.992870129
5291865,40.710253334,-74.006735729
5292121,40.749798544,-73.856599082
5292148,40.630266031,-74.127396009
5292182,40.750169673,-73.871024148
5292201,40.705231794,-73.832179928
5292208,40.667554464,-73.94097810699999
5292221,40.708181737,-73.921234055
5292308,40.759744657,-73.890873347
5292472,40.775948907,-73.905606796
5292690,40.66322449,-73.949445222
5292755,40.553699767,-74.154250015
5292760,40.848461819,-73.862057546
5292827,40.724447511,-73.877604008
5293024,40.609738467,-73.953368225
5293054,40.82506399,-73.877397261
5293063,40.60647417,-73.967117051
5293145,40.592537312,-73.942358648
5293149,40.835353280999996,-73.884750439
5293264,40.670243811,-73.863017325
5293290,40.714434931,-73.79179893199999
5293475,40.584579845,-74.104674254
5293519,40.775775278000005,-73.796690829
5293527,40.748055765,-73.90109168800001
5293783,40.747331059000004,-73.870542425
5293800,40.718153123,-73.944125883
5293948,40.708031054,-73.939899879
5294091,40.884494151999995,-73.905600959
5294110,40.729793459,-73.893310935
5294126,40.770369198000004,-73.789642028
5294150,40.832895381,-73.926716496
5294175,40.576398864,-74.106266935
5294201,40.598651823000004,-74.13892725
5294251,40.720785606,-73.738920678
5294269,40.65061957,-73.95387661699999
5294274,40.745742006,-73.785973708
5294286,40.87621783,-73.868107414
5294289,40.613046602,-74.011400995
5294362,40.846497703000004,-73.89132740699999
5294411,40.713500017,-73.937366313
5294418,40.667587716,-73.73120934100001
5294488,40.666297598,-73.766374251
5294519,40.708552809000004,-73.945940995
5294523,40.750854016,-73.86938785
5294670,40.779554986,-73.908378361
5294681,40.722003087,-73.809726969
5294682,40.722003087,-73.809726969
5294950,40.689032011,-73.756793122
5294990,40.754139974,-73.831688558
5295019,40.770453427,-73.904986398
5295032,40.661774156,-73.898094614
5295034,40.607996248,-74.010694242
5295095,40.817878451999995,-73.939952422
5295169,40.68897253,-73.808086803
5295174,40.753640048,-73.83331403300001
5295210,40.875465882,-73.873091717
5295231,40.67443465,-73.792958461
5295297,40.617589794000004,-74.00129816100001
5295298,40.858373133,-73.899402084
5295303,40.724080615,-73.892237753
5295420,40.625275108000004,-73.94949918399999
5295502,40.743968009,-73.977911783
5295543,40.651454027,-73.936660548
5295558,40.852141187,-73.922375722
